state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4924302,4940639,4956976
Alaska,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,730582,727561,724540
Arizona,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7419458,7547073,7674688
Arkansas,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3029809,3038633,3047457
California,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39437757,39437904,39438051
Colorado,5047539,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5819817,5881148,5942479
Connecticut,3579173,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3557483,3548944,3540405
Delaware,899647,907590,915518,924062,933131,942065,949989,957942,966985,976668,986351,996034,1005717
District of Columbia,605282,620290,635737,651559,663603,677014,687576,697079,704147,708253,712359,716465,720571
Florida,18846143,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21729186,21966316,22203446
Georgia,9712209,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10736651,10845282,10953913
Hawaii,1364004,1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1408128,1400641,1393154
Idaho,1570819,1584272,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1826046,1863032,1900018
Illinois,12840545,12867783,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12609349,12551681,12494013
Indiana,6490555,6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6763539,6796068,6828597
Iowa,3050819,3066772,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3169292,3178988,3188684
Kansas,2858266,2869677,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2912522,2912409,2912296
Kentucky,4348464,4370817,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4480417,4488489,4496561
Louisiana,4544635,4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4652120,4645955,4639790
Maine,1327651,1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1351417,1357064,1362711
Maryland,5788784,5840241,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6067755,6080556,6093357
Massachusetts,6566440,6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883,6904046,6913209,6922372
Michigan,9877597,9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795,9982304,9979813,9977322
Minnesota,5310934,5346620,5377500,5414722,5452665,5484002,5525360,5569283,5608762,5640053,5671344,5702635,5733926
Mississippi,2970615,2979147,2984599,2989839,2991892,2990231,2990595,2990674,2982879,2978227,2973575,2968923,2964271
Missouri,5996089,6011182,6026027,6042989,6059130,6075411,6091384,6111382,6125986,6140475,6154964,6169453,6183942
Montana,990730,997518,1004168,1014158,1022657,1031495,1042137,1053862,1061818,1070123,1078428,1086733,1095038
Nebraska,1829591,1840914,1853691,1865813,1879955,1892059,1906483,1916998,1925512,1932571,1939630,1946689,1953748
Nevada,2702483,2713114,2744670,2776956,2818935,2868531,2919555,2972097,3030725,3090771,3150817,3210863,3270909
New Hampshire,1316807,1320444,1324677,1327272,1334257,1337480,1343694,1350395,1355064,1360783,1366502,1372221,1377940
New Jersey,8799451,8828552,8845671,8857821,8867277,8870312,8873584,8888147,8891730,8891258,8890786,8890314,8889842
New Mexico,2064614,2080707,2087715,2092833,2090236,2090071,2092555,2092844,2093754,2099634,2105514,2111394,2117274
New York,19399956,19499921,19574362,19626488,19653431,19657321,19636391,19593849,19544098,19463131,19382164,19301197,19220230
North Carolina,9574586,9658913,9751810,9846717,9937295,10037218,10161802,10275758,10391358,10501384,10611410,10721436,10831462
North Dakota,674752,685526,702227,723149,738736,755537,756114,756755,760062,763724,767386,771048,774710
