state,y,dead,injured,total,population,dead_100k,injured_100k,total_100k
Alabama,179651,94,341,435,5024279,1.87,6.79,8.66
Alaska,10095,6,18,24,733391,0.82,2.45,3.27
Arizona,68609,62,117,179,7151502,0.87,1.64,2.5
Arkansas,78725,34,179,213,3011524,1.13,5.94,7.07
California,645651,360,1270,1630,39538223,0.91,3.21,4.12
Colorado,94884,65,182,247,5773714,1.13,3.15,4.28
Connecticut,50449,13,113,126,3605944,0.36,3.13,3.49
Delaware,34327,13,64,77,989948,1.31,6.46,7.78
District of Columbia,113031,27,257,284,689545,3.92,37.27,41.19
Florida,415657,275,919,1194,21538187,1.28,4.27,5.54
Georgia,260270,141,500,641,10711908,1.32,4.67,5.98
Idaho,4041,5,6,11,1839106,0.27,0.33,0.6
Illinois,728636,244,1540,1784,12801989,1.91,12.03,13.94
Indiana,141241,76,269,345,6785528,1.12,3.96,5.08
Iowa,32306,11,65,76,3271616,0.34,1.99,2.32
Kansas,40357,31,80,111,2937880,1.06,2.72,3.78
Kentucky,78701,36,162,198,4505836,0.8,3.6,4.39
Louisiana,304767,126,641,767,4657757,2.71,13.76,16.47
Maine,6051,12,2,14,1362359,0.88,0.15,1.03
Maryland,205882,86,397,483,6177224,1.39,6.43,7.82
Massachusetts,62553,18,130,148,7029917,0.26,1.85,2.11
Michigan,209892,105,393,498,10077331,1.04,3.9,4.94
Minnesota,74680,25,179,204,5706494,0.44,3.14,3.57
Mississippi,131198,87,245,332,2961279,2.94,8.27,11.21
Missouri,226028,121,415,536,6154913,1.97,6.74,8.71
Montana,8070,13,6,19,1084225,1.2,0.55,1.75
Nebraska,20179,9,46,55,1961504,0.46,2.35,2.8
Nevada,52467,84,535,619,3104614,2.71,17.23,19.94
New Hampshire,2021,0,4,4,1377529,0.0,0.29,0.29
New Jersey,169507,60,356,416,9288994,0.65,3.83,4.48
New Mexico,40354,38,58,96,2117522,1.79,2.74,4.53
New York,320893,84,691,775,20201249,0.42,3.42,3.84
North Carolina,189736,111,345,456,10439388,1.06,3.3,4.37
Ohio,274498,143,579,722,11799448,1.21,4.91,6.12
Oklahoma,44384,20,81,101,3959353,0.51,2.05,2.55
Oregon,32296,21,70,91,4237256,0.5,1.65,2.15
Pennsylvania,316894,130,626,756,13002700,1.0,4.81,5.81
Rhode Island,8071,0,22,22,1097379,0.0,2.0,2.0
South Carolina,167521,103,338,441,5118425,2.01,6.6,8.62
South Dakota,8070,14,6,20,886667,1.58,0.68,2.26
Tennessee,219929,89,455,544,6910840,1.29,6.58,7.87
Texas,446053,371,905,1276,29145505,1.27,3.11,4.38
Utah,12104,13,17,30,3205958,0.41,0.53,0.94
Vermont,2015,4,0,4,643077,0.62,0.0,0.62
Virginia,155385,76,305,381,8631393,0.88,3.53,4.41
Washington,68613,58,104,162,7705281,0.75,1.35,2.1
West Virginia,10097,13,12,25,1793716,0.72,0.67,1.39
Wisconsin,74699,44,136,180,5893718,0.75,2.31,3.05
Wyoming,2019,2,2,4,576851,0.35,0.35,0.69
